analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,p_fdr
primary,lexical_density,level_within,0.05250843025073085,0.030558648992092315,-0.00738652177377009,0.11240338227523178,1.7182837586936024,0.08574487031238358,3435,364,True,9284.391689931654,0.14290811718730598
primary,lexical_density,level_between,0.1202096850243627,0.059646105727396884,0.003303317798664815,0.2371160522500606,2.0153819525747765,0.04386464394188732,3435,364,True,9284.391689931654,
primary,lexical_density,log_len_z,0.012905504351613617,0.02120793538883361,-0.028662049010500255,0.05447305771372749,0.6085224287512974,0.5428410350185771,3435,364,True,9284.391689931654,
paragraph_only,lexical_density,level_within,0.06337129848563837,0.041930231795763384,-0.018811955834057856,0.14555455280533458,1.51135101743085,0.13069904209785732,1576,234,True,4286.467947147692,0.16337380262232165
paragraph_only,lexical_density,level_between,0.07786487569506746,0.07330609292820736,-0.06581506644421896,0.22154481783435387,1.062188320025796,0.28815020117640877,1576,234,True,4286.467947147692,
paragraph_only,lexical_density,log_len_z,0.02844548779800035,0.027356125298126744,-0.025172517786328067,0.08206349338232877,1.039821520336003,0.29842282894051864,1576,234,True,4286.467947147692,
min150_words,lexical_density,level_within,0.01280130929831058,0.035870622216901515,-0.057505110246816385,0.08310772884343755,0.3568744701695991,0.7211857827258474,2678,321,True,7167.348849008431,0.7211857827258474
min150_words,lexical_density,level_between,0.06410625939815551,0.07434292589485834,-0.08160587535576685,0.20981839415207787,0.862304767084627,0.38851983016813707,2678,321,True,7167.348849008431,
min150_words,lexical_density,log_len_z,0.04679823100689085,0.02265018847605688,0.002403861593819369,0.09119260041996233,2.066129871562016,0.03881621835417088,2678,321,True,7167.348849008431,
exact_deduplicated,lexical_density,level_within,0.051612080051467196,0.03075303956196908,-0.008663877489992193,0.11188803759292659,1.678275734255991,0.09329328290439022,3394,364,True,9186.189494518607,0.15548880484065036
exact_deduplicated,lexical_density,level_between,0.12224305866318158,0.059834467276572,0.004967502801100462,0.23951861452526269,2.043020757553322,0.04105038333016143,3394,364,True,9186.189494518607,
exact_deduplicated,lexical_density,log_len_z,0.010654343119652248,0.021338580421808796,-0.03116927450709299,0.05247796074639749,0.49929952738388944,0.6175683880351928,3394,364,True,9186.189494518607,
near_deduplicated,lexical_density,level_within,0.052367589769519426,0.030899095822744527,-0.008194638043059845,0.11292981758209869,1.6947935975191917,0.09011458247799194,3356,364,True,9092.795318295382,0.15019097079665322
near_deduplicated,lexical_density,level_between,0.12235551271296027,0.05976132155823871,0.005223322458812407,0.23948770296710814,2.0474030614219627,0.04061852604320105,3356,364,True,9092.795318295382,
